Method,Pos. distr.,Period distr., Map size, ED, Dens, Max. SF, GW, Channels, Coverage, Avg. UF, Elapsed, Iters, Exit cond.
Springs,Uniform,Soft,100,10,0.00,7,2,1,100.00,0.00,0,22,Max. coverage
Springs,Uniform,Soft,100,50,0.01,7,2,1,100.00,0.00,1,22,Max. coverage
Springs,Uniform,Soft,100,100,0.01,7,2,1,100.00,0.00,2,23,Max. coverage
Springs,Uniform,Soft,100,200,0.02,7,2,1,100.00,0.01,0,25,Max. coverage
Springs,Uniform,Soft,100,500,0.05,7,3,2,100.00,0.02,4,46,Max. coverage
Springs,Uniform,Soft,100,1000,0.10,7,3,2,100.00,0.03,10,54,Max. coverage
Springs,Uniform,Soft,100,2000,0.20,7,2,1,100.00,0.10,8,24,Max. coverage
Springs,Uniform,Soft,100,5000,0.50,7,3,2,100.00,0.16,40,43,Max. coverage
Springs,Uniform,Soft,100,10000,1.00,7,2,1,100.00,0.48,32,15,Max. coverage
Springs,Uniform,Soft,100,20000,2.00,7,4,3,100.00,0.48,323,52,Max. coverage
Springs,Uniform,Soft,100,50000,5.00,7,10,9,100.00,0.48,4345,117,Max. coverage
Springs,Uniform,Soft,100,100000,10.00,7,19,18,100.00,0.50,38967,171,Max. coverage
Random,Uniform,Soft,100,10,0.00,7,1,1,100.00,0.00,0,8,Max. coverage
Random,Uniform,Soft,100,50,0.01,7,3,2,100.00,0.00,0,33,Max. coverage
Random,Uniform,Soft,100,100,0.01,7,3,2,100.00,0.00,0,30,Max. coverage
Random,Uniform,Soft,100,200,0.02,7,3,2,100.00,0.01,1,30,Max. coverage
Random,Uniform,Soft,100,500,0.05,7,3,2,100.00,0.02,4,28,Max. coverage
Random,Uniform,Soft,100,1000,0.10,7,4,3,100.00,0.02,13,44,Max. coverage
Random,Uniform,Soft,100,2000,0.20,7,2,1,100.00,0.10,12,22,Max. coverage
Random,Uniform,Soft,100,5000,0.50,7,2,1,100.00,0.24,32,23,Max. coverage
Random,Uniform,Soft,100,10000,1.00,7,3,2,100.00,0.32,95,30,Max. coverage
Random,Uniform,Soft,100,20000,2.00,7,5,4,100.00,0.38,453,49,Max. coverage
Random,Uniform,Soft,100,50000,5.00,7,11,10,100.00,0.43,7884,132,Max. coverage
Random,Uniform,Soft,100,100000,10.00,7,22,21,100.00,0.43,75568,205,Max. coverage
Springs,Uniform,Medium,100,10,0.00,7,2,1,100.00,0.00,0,23,Max. coverage
Springs,Uniform,Medium,100,50,0.01,7,3,2,100.00,0.00,0,47,Max. coverage
Springs,Uniform,Medium,100,100,0.01,7,2,1,100.00,0.01,0,23,Max. coverage
Springs,Uniform,Medium,100,200,0.02,7,2,1,100.00,0.02,0,20,Max. coverage
Springs,Uniform,Medium,100,500,0.05,7,2,1,100.00,0.04,1,22,Max. coverage
Springs,Uniform,Medium,100,1000,0.10,7,3,2,100.00,0.05,7,42,Max. coverage
Springs,Uniform,Medium,100,2000,0.20,7,2,1,100.00,0.15,8,23,Max. coverage
Springs,Uniform,Medium,100,5000,0.50,7,2,1,100.00,0.38,19,22,Max. coverage
Springs,Uniform,Medium,100,10000,1.00,7,4,3,100.00,0.38,190,72,Max. coverage
Springs,Uniform,Medium,100,20000,2.00,7,6,5,100.00,0.50,697,77,Max. coverage
Springs,Uniform,Medium,100,50000,5.00,7,15,14,100.00,0.50,11707,173,Max. coverage
Springs,Uniform,Medium,100,100000,10.00,7,31,30,100.00,0.49,119903,253,Max. coverage
Random,Uniform,Medium,100,10,0.00,7,1,1,100.00,0.00,0,5,Max. coverage
Random,Uniform,Medium,100,50,0.01,7,2,1,100.00,0.00,0,17,Max. coverage
Random,Uniform,Medium,100,100,0.01,7,2,1,100.00,0.01,0,13,Max. coverage
Random,Uniform,Medium,100,200,0.02,7,2,1,100.00,0.02,1,23,Max. coverage
Random,Uniform,Medium,100,500,0.05,7,2,1,100.00,0.04,3,28,Max. coverage
Random,Uniform,Medium,100,1000,0.10,7,3,2,100.00,0.05,11,38,Max. coverage
Random,Uniform,Medium,100,2000,0.20,7,3,2,100.00,0.10,14,25,Max. coverage
Random,Uniform,Medium,100,5000,0.50,7,3,2,100.00,0.25,50,32,Max. coverage
Random,Uniform,Medium,100,10000,1.00,7,4,3,100.00,0.38,197,48,Max. coverage
Random,Uniform,Medium,100,20000,2.00,7,7,6,100.00,0.43,1066,77,Max. coverage
Random,Uniform,Medium,100,50000,5.00,7,16,15,100.00,0.47,20961,187,Max. coverage
Random,Uniform,Medium,100,100000,10.00,7,32,30,100.00,0.47,225491,271,Max. coverage
Springs,Uniform,Hard,100,10,0.00,7,2,1,100.00,0.00,0,22,Max. coverage
Springs,Uniform,Hard,100,50,0.01,7,2,1,100.00,0.03,0,22,Max. coverage
Springs,Uniform,Hard,100,100,0.01,7,2,1,100.00,0.05,0,26,Max. coverage
Springs,Uniform,Hard,100,200,0.02,7,2,1,100.00,0.10,0,23,Max. coverage
Springs,Uniform,Hard,100,500,0.05,7,2,1,100.00,0.25,1,23,Max. coverage
Springs,Uniform,Hard,100,1000,0.10,7,3,2,100.00,0.33,8,41,Max. coverage
Springs,Uniform,Hard,100,2000,0.20,7,4,3,100.00,0.49,26,42,Max. coverage
Springs,Uniform,Hard,100,5000,0.50,7,10,9,100.00,0.48,484,123,Max. coverage
Springs,Uniform,Hard,100,10000,1.00,7,20,19,100.00,0.48,3087,132,Max. coverage
Springs,Uniform,Hard,100,20000,2.00,7,39,38,100.00,0.49,45919,348,Max. coverage
Springs,Uniform,Hard,100,50000,5.00,7,102,101,100.00,0.47,16312,24,Max. coverage
Springs,Uniform,Hard,100,100000,10.00,7,200,196,100.00,0.48,1153968,238,Max. coverage
Random,Uniform,Hard,100,10,0.00,7,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Hard,100,50,0.01,7,2,1,100.00,0.03,0,12,Max. coverage
Random,Uniform,Hard,100,100,0.01,7,3,2,100.00,0.03,1,35,Max. coverage
Random,Uniform,Hard,100,200,0.02,7,3,2,100.00,0.07,1,26,Max. coverage
Random,Uniform,Hard,100,500,0.05,7,3,2,100.00,0.17,4,27,Max. coverage
Random,Uniform,Hard,100,1000,0.10,7,3,2,100.00,0.33,14,39,Max. coverage
Random,Uniform,Hard,100,2000,0.20,7,5,4,100.00,0.39,58,57,Max. coverage
Random,Uniform,Hard,100,5000,0.50,7,11,10,100.00,0.44,868,131,Max. coverage
Random,Uniform,Hard,100,10000,1.00,7,19,18,100.00,0.50,6181,124,Max. coverage
Random,Uniform,Hard,100,20000,2.00,7,40,39,100.00,0.48,91465,365,Max. coverage
Random,Uniform,Hard,100,50000,5.00,7,100,98,100.00,0.48,4648,3,Max. coverage
Random,Uniform,Hard,100,100000,10.00,7,190,185,100.00,0.50,1496606,126,Max. coverage
