mapSize,nED,ufAvg,coverage,gwNum,status,iteration,suboptimalSteps,exitCondition,elapsed
500,1000,0.14109347442680775,100,1,ready,501,11,iterations completed,4138
500,2500,0.31252204585537924,88.6,1,ready,501,11,iterations completed,35185
500,5000,0.35266313932980603,99.98,2,ready,501,16,iterations completed,197964
500,10000,0.45695473251028806,97.16,3,ready,100,23,timeout,241743
1000,1000,0.13982363315696644,99.1,1,ready,501,11,iterations completed,4162
1000,2500,0.17629629629629628,99.96000000000001,2,ready,501,12,iterations completed,33553
1000,5000,0.23238095238095238,98.82,3,ready,477,13,timeout,240048
1000,10000,0.3031746031746032,85.95,4,ready,74,24,timeout,243371
2000,1000,0.075626102292769,53.6,1,ready,501,7,iterations completed,4338
2000,2500,0.11188712522045852,95.16,3,ready,501,16,iterations completed,36795
2000,5000,0.14089594356261023,99.86,5,ready,501,2,iterations completed,202674
4000,1000,0.03481481481481477,98.7,4,ready,501,5,iterations completed,4489
4000,2500,0.050309901738473176,99.83999999999999,7,ready,501,10,iterations completed,26308
4000,5000,0.07041975308641975,99.82,10,ready,501,19,iterations completed,144947